"city","state","price","amount","quality","date","ppg","state.name","lat","lon"
"Annandale","VA",100,7.075,"high",2010-09-02,14.13,"Virginia",38.830345,-77.21387
"Auburn","AL",60,28.3,"high",2010-09-02,2.12,"Alabama",32.578185,-85.47282
"Austin","TX",60,28.3,"medium",2010-09-02,2.12,"Texas",30.326374,-97.771258
"Belleville","IL",400,28.3,"high",2010-09-02,14.13,"Illinois",38.532311,-89.983521
"Boone","NC",55,3.54,"high",2010-09-02,15.54,"North Carolina",36.217052,-81.687983
"Boulder","CO",300,28.3,"high",2010-09-02,10.6,"Colorado",40.087835,-105.373507
"Brighton","MA",300,28.3,"high",2010-09-02,10.6,"Massachusetts",42.348418,-71.15349
"Brooklyn","NY",20,3.54,"high",2010-09-02,5.65,"New York",40.645099,-73.945032
"Brooklyn","NY",80,3.54,"high",2010-09-02,22.6,"New York",40.645099,-73.945032
"Brooklyn","NY",60,3.54,"medium",2010-09-02,16.95,"New York",40.645099,-73.945032
"Burlington","VT",450,28.3,"high",2010-09-02,15.9,"Vermont",44.442117,-73.082525
"Chicago","IL",520,28.3,"high",2010-09-02,18.37,"Illinois",41.8474,-87.68732
"Claymont","DE",20,3.54,"medium",2010-09-02,5.65,"Delaware",39.800945,-75.46455
"Clearwater","FL",120,28.3,"medium",2010-09-02,4.24,"Florida",27.932797,-82.724763
"Clearwater","FL",75,7.075,"high",2010-09-02,10.6,"Florida",27.932797,-82.724763
"Colorado Springs","CO",45,7.075,"high",2010-09-02,6.36,"Colorado",38.82469,-104.665
"Columbia","SC",70,28.3,"low",2010-09-02,2.47,"South Carolina",34.005992,-80.970766
"Cullman","AL",30,7.075,"medium",2010-09-02,4.24,"Alabama",34.1821705,-86.860143
"Dallas","TX",100,14.15,"medium",2010-09-02,7.07,"Texas",32.767268,-96.777626
"Downers Grove","IL",220,28.3,"medium",2010-09-02,7.77,"Illinois",41.7824715,-88.015805
"Essex Junction","VT",55,3.54,"medium",2010-09-02,15.54,"Vermont",44.472054,-73.0881425
"Essex Junction","VT",50,3.54,"high",2010-09-02,14.12,"Vermont",44.472054,-73.0881425
"Fayetteville","NC",60,14.15,"low",2010-09-02,4.24,"North Carolina",35.0410575,-78.906259
"Fort Mill","SC",70,28.3,"low",2010-09-02,2.47,"South Carolina",35.0246925,-80.9427375
"Fort Mill","SC",450,28.3,"high",2010-09-02,15.9,"South Carolina",35.0246925,-80.9427375
"Fort Worth","TX",350,28.3,"high",2010-09-02,12.37,"Texas",32.771419,-97.291484
"Fuquay Varina","NC",50,3.54,"high",2010-09-02,14.12,"North Carolina",35.575302,-78.80234
"Glenview","IL",420,28.3,"high",2010-09-02,14.84,"Illinois",42.07672,-87.81922
"Indianapolis","IN",100,28.3,"medium",2010-09-02,3.53,"Indiana",39.779492,-86.132837
"Lancaster","NY",30,3.54,"medium",2010-09-02,8.47,"New York",42.904258,-78.65519
"Lansing","MI",110,7.075,"high",2010-09-02,15.55,"Michigan",42.72,-84.555629
"Los Angeles","CA",100,28.3,"high",2010-09-02,3.53,"California",34.001115,-118.298662
"Los Angeles","CA",45,3.54,"medium",2010-09-02,12.71,"California",34.001115,-118.298662
"Loveland","OH",25,3.54,"medium",2010-09-02,7.06,"Ohio",39.258653,-84.2651
"Madison","WI",350,28.3,"medium",2010-09-02,12.37,"Wisconsin",43.06956,-89.423861
"Metropolis","IL",70,3.54,"high",2010-09-02,19.77,"Illinois",37.18308,-88.73327
"Munster","IN",80,28.3,"low",2010-09-02,2.83,"Indiana",41.551457,-87.50143
"Naples","FL",180,14.15,"high",2010-09-02,12.72,"Florida",26.180962,-81.73386
"Nashville","TN",60,3.54,"medium",2010-09-02,16.95,"Tennessee",36.186605,-86.785248
"New Haven","CT",65,3.54,"high",2010-09-02,18.36,"Connecticut",41.365709,-72.927507
"New Haven","CT",30,3.54,"low",2010-09-02,8.47,"Connecticut",41.365709,-72.927507
"New Orleans","LA",50,3.54,"medium",2010-09-02,14.12,"Louisiana",30.032997,-89.882564
"New York","NY",60,3.54,"medium",2010-09-02,16.95,"New York",40.780751,-73.977182
"New York","NY",50,3.54,"high",2010-09-02,14.12,"New York",40.780751,-73.977182
"New York","NY",70,3.54,"high",2010-09-02,19.77,"New York",40.780751,-73.977182
"Oak Ridge","TN",120,7.075,"high",2010-09-02,16.96,"Tennessee",36.049331,-84.233118
"Philadelphia","PA",100,7.075,"medium",2010-09-02,14.13,"Pennsylvania",40.001811,-75.12565
"Platteville","WI",55,3.54,"high",2010-09-02,15.54,"Wisconsin",42.743948,-90.48625
"Potomac","MD",60,3.54,"high",2010-09-02,16.95,"Maryland",39.0895035,-77.2037835
"Rochester","MN",60,3.54,"high",2010-09-02,16.95,"Minnesota",44.009563,-92.479243
"San Diego","CA",100,7.075,"high",2010-09-02,14.13,"California",32.998855,-117.02431
"San Diego","CA",300,28.3,"high",2010-09-02,10.6,"California",32.998855,-117.02431
"San Diego","CA",50,3.54,"high",2010-09-02,14.12,"California",32.998855,-117.02431
"San Diego","CA",150,14.15,"high",2010-09-02,10.6,"California",32.998855,-117.02431
"San Francisco","CA",240,28.3,"high",2010-09-02,8.48,"California",37.784827,-122.727802
"San Francisco","CA",100,28.3,"high",2010-09-02,3.53,"California",37.784827,-122.727802
"San Francisco","CA",55,3.54,"high",2010-09-02,15.54,"California",37.784827,-122.727802
"San Francisco","CA",45,3.54,"high",2010-09-02,12.71,"California",37.784827,-122.727802
"San Francisco","CA",40,3.54,"low",2010-09-02,11.3,"California",37.784827,-122.727802
"San Marcos","TX",60,3.54,"high",2010-09-02,16.95,"Texas",29.965661,-97.975127
"Seattle","WA",220,28.3,"medium",2010-09-02,7.77,"Washington",47.543348,-122.30373
"Seattle","WA",40,3.54,"high",2010-09-02,11.3,"Washington",47.543348,-122.30373
"Seattle","WA",40,3.54,"medium",2010-09-02,11.3,"Washington",47.543348,-122.30373
"Shawano","WI",25,3.54,"medium",2010-09-02,7.06,"Wisconsin",44.779241,-88.60636
"Springfield","MO",70,3.54,"high",2010-09-02,19.77,"Missouri",37.212639,-93.31297
"State College","PA",65,3.54,"medium",2010-09-02,18.36,"Pennsylvania",40.887445,-77.805051
"Syracuse","NY",700,28.3,"medium",2010-09-02,24.73,"New York",43.038099,-76.16406
"Tempe","AZ",120,28.3,"low",2010-09-02,4.24,"Arizona",33.380009,-111.931424
"Tuscaloosa","AL",60,3.54,"medium",2010-09-02,16.95,"Alabama",33.2721235,-87.51457
"Tuscaloosa","AL",50,3.54,"high",2010-09-02,14.12,"Alabama",33.2721235,-87.51457
"Uniontown","OH",400,28.3,"high",2010-09-02,14.13,"Ohio",40.961206,-81.42516
"Venice","CA",140,14.15,"high",2010-09-02,9.89,"California",33.8895025,-118.381986
"Walled Lake","MI",30,3.54,"medium",2010-09-02,8.47,"Michigan",42.604787,-83.432995
"West Jordan","UT",25,7.075,"low",2010-09-02,3.53,"Utah",40.594222,-111.97889
