Sale Date,Sale Price,sale_reason,sale_instrument,sale_warning,sitetype,addr_full,zip5,ctyname,postalctyn,lon,lat,building_grade,square_feet_total_living,bedrooms,bath_full_count,bath_half_count,bath_3qtr_count,year_built,year_renovated,current_zoning,sq_ft_lot,prop_type,present_use
1/3/06,698000,1,3,,R1,17021 NE 113TH CT,98052,REDMOND,REDMOND,-122.1123761,47.70138713,9,2810,4,2,1,0,2003,0,R4,6635,R,2
1/3/06,649990,1,3,,R1,11927 178TH PL NE,98052,REDMOND,REDMOND,-122.1022083,47.70730983,9,2880,4,2,0,1,2006,0,R4,5570,R,2
1/3/06,572500,1,3,,R1,13315 174TH AVE NE,98052,,REDMOND,-122.1085323,47.71985655,8,2770,4,1,1,1,1987,0,R6,8444,R,2
1/3/06,420000,1,3,,R1,3303 178TH AVE NE,98052,REDMOND,REDMOND,-122.1036796,47.63914263,8,1620,3,1,0,1,1968,0,R4,9600,R,2
1/3/06,369900,1,3,15,R1,16126 NE 108TH CT,98052,REDMOND,REDMOND,-122.1241519,47.69748136,7,1440,3,1,0,1,1980,0,R6,7526,R,2
1/3/06,184667,1,15,18 51,R1,8101 229TH DR NE,98053,,REDMOND,-122.0340631,47.67544868,7,4160,4,2,1,1,2005,0,URPSO,7280,R,2
1/4/06,1050000,1,3,,R1,21634 NE 87TH PL,98053,,REDMOND,-122.050707,47.68052556,10,3960,5,3,0,1,1993,0,RA5,97574,R,2
1/4/06,875000,1,3,,R1,21404 NE 67TH ST,98053,,REDMOND,-122.0555214,47.66509845,10,3720,4,2,1,0,1988,0,RA5,30649,R,2
1/4/06,660000,1,3,,R1,7525 238TH AVE NE,98053,,REDMOND,-122.0226818,47.67208218,9,4160,4,2,1,1,1978,0,RA5,42688,R,2
1/4/06,650000,1,3,,R1,17703 NE 26TH ST,98052,REDMOND,REDMOND,-122.1039197,47.63340999,8,2760,4,1,0,1,1976,0,R3,94889,R,2
1/4/06,599950,1,3,,R1,14924 NE 74TH CT,98052,REDMOND,REDMOND,-122.1411403,47.67141602,9,2180,3,2,1,0,1988,0,R5,7949,R,2
1/4/06,526787,1,3,,R1,7858 148TH CT NE,98052,REDMOND,REDMOND,-122.1425247,47.6740741,8,2480,3,2,1,0,2005,0,R5,2647,R,2
1/4/06,470000,1,3,,R1,17905 NE 26TH ST,98052,REDMOND,REDMOND,-122.1010258,47.633187,8,2230,4,1,0,1,1975,0,R3,12070,R,2
1/4/06,165000,1,3,,R1,2921 288TH AVE NE,98053,,REDMOND,-121.9576961,47.63381924,9,1850,3,2,0,0,2011,0,RA5,278891,R,2
1/5/06,803000,1,3,,R1,3624 264TH AVE NE,98053,,REDMOND,-121.9856996,47.64183847,10,3180,3,2,1,0,1990,0,RA5,95013,R,2
