Year,Month,Sales,Date,Decade
1992,JAN,146925.0,1992-01-01,1990
1992,FEB,147223.0,1992-02-01,1990
1992,MAR,146805.0,1992-03-01,1990
1992,APR,148032.0,1992-04-01,1990
1992,MAY,149010.0,1992-05-01,1990
1992,JUN,149800.0,1992-06-01,1990
1992,JUL,150761.0,1992-07-01,1990
1992,AUG,151067.0,1992-08-01,1990
1992,SEP,152588.0,1992-09-01,1990
1992,OCT,153521.0,1992-10-01,1990
1992,NOV,153583.0,1992-11-01,1990
1992,DEC,155614.0,1992-12-01,1990
1993,JAN,157555.0,1993-01-01,1990
1993,FEB,156266.0,1993-02-01,1990
1993,MAR,154752.0,1993-03-01,1990
1993,APR,158979.0,1993-04-01,1990
1993,MAY,160605.0,1993-05-01,1990
1993,JUN,160127.0,1993-06-01,1990
1993,JUL,162816.0,1993-07-01,1990
1993,AUG,162506.0,1993-08-01,1990
1993,SEP,163258.0,1993-09-01,1990
1993,OCT,164685.0,1993-10-01,1990
1993,NOV,166594.0,1993-11-01,1990
1993,DEC,168161.0,1993-12-01,1990
1994,JAN,167518.0,1994-01-01,1990
1994,FEB,169649.0,1994-02-01,1990
1994,MAR,172766.0,1994-03-01,1990
1994,APR,173106.0,1994-04-01,1990
1994,MAY,172329.0,1994-05-01,1990
1994,JUN,174241.0,1994-06-01,1990
1994,JUL,174781.0,1994-07-01,1990
1994,AUG,177295.0,1994-08-01,1990
1994,SEP,178787.0,1994-09-01,1990
1994,OCT,180561.0,1994-10-01,1990
1994,NOV,180703.0,1994-11-01,1990
1994,DEC,181524.0,1994-12-01,1990
1995,JAN,182413.0,1995-01-01,1990
1995,FEB,179488.0,1995-02-01,1990
1995,MAR,181013.0,1995-03-01,1990
1995,APR,181686.0,1995-04-01,1990
1995,MAY,183536.0,1995-05-01,1990
1995,JUN,186081.0,1995-06-01,1990
1995,JUL,185431.0,1995-07-01,1990
1995,AUG,186806.0,1995-08-01,1990
1995,SEP,187366.0,1995-09-01,1990
1995,OCT,186565.0,1995-10-01,1990
1995,NOV,189055.0,1995-11-01,1990
1995,DEC,190774.0,1995-12-01,1990
1996,JAN,189135.0,1996-01-01,1990
1996,FEB,192266.0,1996-02-01,1990
1996,MAR,194029.0,1996-03-01,1990
1996,APR,194744.0,1996-04-01,1990
1996,MAY,196205.0,1996-05-01,1990
1996,JUN,196136.0,1996-06-01,1990
1996,JUL,196187.0,1996-07-01,1990
1996,AUG,196218.0,1996-08-01,1990
1996,SEP,198859.0,1996-09-01,1990
1996,OCT,200509.0,1996-10-01,1990
1996,NOV,200174.0,1996-11-01,1990
1996,DEC,201284.0,1996-12-01,1990
