agency_ori,geo_name,countCarThefts2019,countCarThefts2020,countCarThefts2021,countCarThefts2022,latitude,longitude,percentChange2019to2022
MO0490300,Carthage PD,62,58,47,26,37.17585351,-94.31334518,-0.5806451612903226
,Warren County SO,112,94,76,58,41.3087884,-80.8478765,-0.48214285714285715
TX06802,Odessa PD,499,464,375,288,31.8893323,-102.3298887,-0.4228456913827655
MO0530000,Laclede County SO,55,74,54,32,37.66345508,-92.54901283,-0.41818181818181815
MO0480000,Jackson County SO,125,141,81,75,37.38440132,-89.66791807,-0.4
MN0070100,Mankato Dept of Public Safety,72,62,66,44,44.1616817,-94.0087623,-0.3888888888888889
,Pickaway County SO,50,37,35,31,39.6558613,-83.0486789,-0.38
,Roy PD,60,61,60,37,41.1715642,-112.0272788,-0.38333333333333336
RI0040400,East Providence PD,73,42,53,46,41.84002609,-71.46640907,-0.3698630136986301
MN0860000,Wright County SO,65,65,43,42,45.20875791,-93.86329086,-0.35384615384615387
,Lancaster PD,90,74,-,59,39.7127563,-82.6017001,-0.34444444444444444
PA0671500,Northern York Regional PD,42,41,44,28,39.9910542,-76.6702415,-0.3333333333333333
PA0061400,Reading City PD,194,176,142,131,40.3924098,-75.9931368,-0.3247422680412371
,Unified PD of Greater Salt Lake,969,-,974,661,40.73710136,-112.0966499,-0.31785345717234265
,Lorain County SO,41,67,21,28,41.4684988,-82.1791283,-0.3170731707317073
PAPSP5300,PA State Police - Mansfield Station,37,39,16,25,41.792623,-77.120058,-0.32432432432432434
NV0120000,Nye County SO,155,121,101,109,38.02867387,-116.5454584,-0.2967741935483871
PAPSP5500,PA State Police - Meadville Station,44,32,18,31,41.6168302,-80.2027519,-0.29545454545454547
TX08409,Texas City PD,146,158,123,104,29.3946456,-94.9089347,-0.2876712328767123
MO0920400,St Peters PD,96,100,121,68,38.7890591,-90.61665537,-0.2916666666666667
MO0110100,St Joseph PD,660,574,443,467,39.76179293,-94.80883152,-0.2924242424242424
PAPSP3400,PA State Police - Greensburg Station,42,23,40,30,40.29530465,-79.55207678,-0.2857142857142857
,Middletown PD,148,145,170,106,39.5192421,-84.4012023,-0.28378378378378377
PA0090900,Middletown Township PD,39,41,28,28,40.1948706,-76.7323419,-0.28205128205128205
,Weber County SO,89,136,91,64,41.26648899,-111.979348,-0.2808988764044944
SC01008,North Charleston PD,966,680,757,704,33.6151587,-81.1034881,-0.2712215320910973
,Warren PD,129,69,83,96,41.3087884,-80.8478765,-0.2558139534883721
RI0040200,Cranston PD,91,87,111,67,41.7478005,-71.4674858,-0.26373626373626374
AK00101,Anchorage PD,1553,1192,1095,1163,61.2212249,-149.8880263,-0.2511268512556343
OK05506,Oklahoma City PD,3818,3782,3512,2955,35.4877358,-97.5043369,-0.22603457307490832
NC04103,High Point PD,400,331,325,309,35.98758651,-80.02156181,-0.2275
NV0160100,Reno PD,1184,987,1375,911,39.5738515,-119.810997,-0.23057432432432431
PA0630500,Washington City PD,41,29,31,32,40.1680849,-80.2464984,-0.21951219512195122
PA0021900,Penn Hills Township PD,87,70,62,68,40.46140966,-79.82595544,-0.21839080459770116
MN0580000,Pine County SO,63,92,79,49,46.14940313,-92.7095069,-0.2222222222222222
MN0690600,Duluth PD,212,206,292,167,46.7838277,-92.1052764,-0.21226415094339623
TN06301,Clarksville PD,472,409,433,389,36.53805443,-87.35265374,-0.17584745762711865
,Ogden PD,345,392,358,283,41.240167,-111.993538,-0.17971014492753623
CO0220000,Fremont County SO,41,40,35,34,38.44637392,-105.1815303,-0.17073170731707318
CA03610,San Bernardino PD,2078,1709,1849,1721,34.1125153,-117.2923722,-0.1717998075072185
VA09900,Alexandria PD,362,343,256,299,38.798034,-77.0644737,-0.17403314917127072
MO0922400,St Charles County PD,59,153,92,49,38.83846505,-90.663379,-0.1694915254237288
,Ross County SO,132,147,111,110,39.34491956,-83.0674236,-0.16666666666666666
,Findlay PD,35,31,46,29,41.0380711,-83.6524428,-0.17142857142857143
MO0360000,Franklin County SO,58,98,71,49,38.41401605,-91.05359003,-0.15517241379310345
MN0820700,Cottage Grove PD,31,33,32,26,44.8340426,-92.9535649,-0.16129032258064516
MN0040100,Bemidji PD,57,65,42,48,47.47398265,-94.88328564,-0.15789473684210525
KS08703,Wichita PD,3192,3062,2979,2723,37.69286914,-97.33916667,-0.14692982456140352
CO0430100,Montrose PD,53,45,56,45,38.479071,-107.874763,-0.1509433962264151
MO0510300,Warrensburg PD,40,61,47,34,38.7654155,-93.7420275,-0.15
,Zanesville PD,46,41,50,39,39.9409154,-82.0072986,-0.15217391304347827
,Murray PD,403,577,453,341,40.66240706,-111.8874883,-0.15384615384615385
OR0100500,Roseburg PD,109,124,104,93,43.2119728,-123.34148,-0.14678899082568808
MN0020100,Anoka PD,39,24,29,33,45.2017314,-93.3878361,-0.15384615384615385
TX22601,San Angelo PD,231,322,224,199,31.35737452,-100.502947,-0.13852813852813853
NV0040100,Elko PD,73,82,75,63,40.8246854,-115.7723704,-0.136986301369863
OR0100000,Douglas SO,192,223,198,165,43.33223389,-123.1886547,-0.140625
MO0190200,Belton PD,75,79,104,65,38.8272843,-94.514869,-0.13333333333333333
DE00206,Wilmington PD,415,384,412,361,39.7387328,-75.5483019,-0.13012048192771083
PA0233900,Yeadon Borough PD,40,52,25,35,39.9361947,-75.2536558,-0.125
OR0090000,Deschutes SO,69,71,87,60,43.96464899,-121.1926363,-0.13043478260869565
CO0220100,Canon City PD,50,80,61,44,38.44626447,-105.1820428,-0.12
CO0210200,Fountain PD,100,70,104,88,38.684819,-104.704153,-0.12
,West Valley PD,703,954,773,616,40.69519924,-111.9569147,-0.12375533428165007
OR0150000,Jackson SO,136,100,109,120,42.39293757,-122.7409391,-0.11764705882352941
MN0020200,Blaine PD,103,110,99,91,45.1661418,-93.2082851,-0.11650485436893204
CO0210000,El Paso County SO,483,368,411,431,38.91898776,-104.4791939,-0.10766045548654245
CO0210100,Colorado Springs PD,3229,2634,2858,2866,38.89240461,-104.8029983,-0.11241870548157325
,St. George PD,138,140,147,123,37.11339363,-113.5778344,-0.10869565217391304
CT00093,New Haven PD,689,721,608,614,41.2890844,-72.925412,-0.10885341074020319
PAPSP0200,PA State Police - Avondale Station,29,22,31,26,39.8388429,-75.7975635,-0.10344827586206896
,South Ogden PD,31,33,27,28,41.1911932,-111.9679398,-0.0967741935483871
CA03905,Stockton PD,1678,1496,1416,1531,37.9934189,-121.3141207,-0.08760429082240763
MN0020500,Coon Rapids PD,86,81,105,78,45.17302714,-93.30309812,-0.09302325581395349
TX17802,Corpus Christi PD,895,881,1024,827,27.7135484,-97.3290393,-0.07597765363128492
AZ0140500,Yuma PD,232,189,239,214,32.724654,-114.6224525,-0.07758620689655173
,Tuscarawas County SO,38,29,40,35,40.3941839,-81.4005332,-0.07894736842105263
NJ02004,Elizabeth PD,757,698,719,695,40.6669173,-74.2132653,-0.08190224570673713
,Clearfield PD,39,50,55,36,41.11311932,-112.0241058,-0.07692307692307693
CT00015,Bridgeport PD,618,643,720,566,41.1753701,-73.1911509,-0.08414239482200647
MO0150000,Camden County SO,43,69,26,40,39.19676214,-94.06042774,-0.06976744186046512
NV0160200,Sparks PD,376,325,421,350,39.5415159,-119.7100724,-0.06914893617021277
MN0690000,St Louis County SO,56,32,88,52,47.63123212,-92.47675502,-0.07142857142857142
TX22101,Abilene PD,206,201,207,194,32.44455137,-99.73261223,-0.05825242718446602
MDBPD00,Baltimore PD,5952,4849,5048,5585,39.3109584,-76.6587321,-0.06165994623655914
CO0620000,Weld County SO,124,180,172,118,40.44985035,-104.7035418,-0.04838709677419355
CA03705,El Cajon PD,359,355,419,340,32.78856243,-116.8282172,-0.052924791086350974
TN04701,Knoxville PD,984,1122,1131,935,35.9603179,-83.9166576,-0.049796747967479675
IN07102,South Bend PD,573,538,685,547,41.6656955,-86.2584312,-0.04537521815008726
MI82349,Detroit PD,6890,5578,6737,6573,42.382142,-83.0818816,-0.04600870827285922
MN0270200,Brooklyn Center PD,202,205,204,191,45.0769234,-93.3006003,-0.054455445544554455
TX02102,College Station PD,188,210,190,180,30.6057688,-96.3027804,-0.0425531914893617
TX18801,Amarillo PD,975,1066,860,932,35.2101764,-101.8347833,-0.0441025641025641
,Clermont County SO,56,81,78,54,39.05229704,-84.15775585,-0.03571428571428571
PA0390100,Allentown City PD,243,274,235,233,40.6109403,-75.565969,-0.0411522633744856
CO0440200,Fort Morgan PD,31,36,33,30,40.2521227,-103.7876199,-0.03225806451612903
PAPSP6300,PA State Police - Gibson Station,33,53,18,32,41.8309167,-75.68807713,-0.030303030303030304
OR0170000,Josephine SO,146,169,130,141,42.39836173,-123.5834969,-0.03424657534246575
CO0180100,Castle Rock PD,63,110,79,62,39.3709069,-104.8582544,-0.015873015873015872
TX05712,Grand Prairie PD,501,611,478,492,32.7457131,-97.0054547,-0.017964071856287425
RI0040100,Central Falls PD,53,44,26,52,41.8924196,-71.3839267,-0.018867924528301886
VA12200,Richmond PD,1192,1160,1018,1207,37.5078405,-77.3326865,0.012583892617449664
TX15202,Lubbock PD,1225,1158,1085,1217,33.57816494,-101.8544501,-0.006530612244897959
MN0620000,Ramsey County SO,169,196,209,167,45.2322971,-93.4594358,-0.011834319526627219
TX22001,Arlington PD,1231,1264,1339,1225,32.7305236,-97.1243281,-0.00487408610885459
AR06002,Little Rock PD,1070,1013,1056,1069,34.67677,-92.34130953,-0.0009345794392523365
OK01402,Norman PD,359,407,510,358,35.2230028,-97.4460595,-0.002785515320334262
,Hocking County SO,37,54,-,37,39.50605811,-82.47046873,0
,Madison Township PD,26,31,40,26,41.7713932,-81.0501534,0
IA05701,Cedar Rapids PD,409,557,436,407,41.9748922,-91.6756665,-0.004889975550122249
OR0150400,Medford PD,341,323,238,342,42.32208048,-122.8785762,0.002932551319648094
