country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,2024-04-14,Films,1,The Tearsmith,N/A,2
Argentina,AR,2024-04-14,Films,2,Stolen,N/A,1
Argentina,AR,2024-04-14,Films,3,"Love, Divided",N/A,1
Argentina,AR,2024-04-14,Films,4,Woody Woodpecker Goes to Camp,N/A,1
Argentina,AR,2024-04-14,Films,5,Rest In Peace,N/A,3
Argentina,AR,2024-04-14,Films,6,What Jennifer Did,N/A,1
Argentina,AR,2024-04-14,Films,7,Scoop,N/A,1
Argentina,AR,2024-04-14,Films,8,The Wages of Fear,N/A,3
Argentina,AR,2024-04-14,Films,9,The Beautiful Game,N/A,2
Argentina,AR,2024-04-14,Films,10,Room,N/A,1
Argentina,AR,2024-04-14,TV,1,Between Lands,Between Lands: Season 1,3
Argentina,AR,2024-04-14,TV,2,The Hijacking of Flight 601,The Hijacking of Flight 601: Season 1,1
Argentina,AR,2024-04-14,TV,3,Crooks,Crooks: Season 1,2
Argentina,AR,2024-04-14,TV,4,Midsummer Night,Midsummer Night: Limited Series,1
Argentina,AR,2024-04-14,TV,5,Parasyte: The Grey,Parasyte: The Grey: Limited Series,2
Argentina,AR,2024-04-14,TV,6,Anthracite,Anthracite: Secrets of the Sect,1
Argentina,AR,2024-04-14,TV,7,3 Body Problem,3 Body Problem: Season 1,4
Argentina,AR,2024-04-14,TV,8,Bad Dinosaurs,Bad Dinosaurs: Season 1,2
Argentina,AR,2024-04-14,TV,9,The Gentlemen,The Gentlemen: Season 1,6
Argentina,AR,2024-04-14,TV,10,RIPLEY,RIPLEY: Limited Series,1
Argentina,AR,2024-04-07,Films,1,Rest In Peace,N/A,2
Argentina,AR,2024-04-07,Films,2,The Wages of Fear,N/A,2
Argentina,AR,2024-04-07,Films,3,The Tearsmith,N/A,1
Argentina,AR,2024-04-07,Films,4,No Pressure,N/A,2
Argentina,AR,2024-04-07,Films,5,Heart of the Hunter,N/A,2
Argentina,AR,2024-04-07,Films,6,Letters to God,N/A,1
Argentina,AR,2024-04-07,Films,7,Crisis,N/A,1
Argentina,AR,2024-04-07,Films,8,The Beautiful Game,N/A,1
Argentina,AR,2024-04-07,Films,9,Girls to Buy,N/A,3
Argentina,AR,2024-04-07,Films,10,Ice Soldiers,N/A,1
Argentina,AR,2024-04-07,TV,1,Between Lands,Between Lands: Season 1,2
