month,year,city,state,countKiaHyundaiThefts,countOtherThefts,percentKiaHyundai
Jan,2019,Atlanta,GA,17,264,0.060
Feb,2019,Atlanta,GA,11,205,0.051
Mar,2019,Atlanta,GA,18,181,0.090
Apr,2019,Atlanta,GA,15,223,0.063
May,2019,Atlanta,GA,16,277,0.055
Jun,2019,Atlanta,GA,14,220,0.060
Jul,2019,Atlanta,GA,19,267,0.066
Aug,2019,Atlanta,GA,12,242,0.047
Sep,2019,Atlanta,GA,11,234,0.045
Oct,2019,Atlanta,GA,12,206,0.055
Nov,2019,Atlanta,GA,17,216,0.073
Dec,2019,Atlanta,GA,17,263,0.061
Jan,2020,Atlanta,GA,15,253,0.056
Feb,2020,Atlanta,GA,17,206,0.076
Mar,2020,Atlanta,GA,27,179,0.131
Apr,2020,Atlanta,GA,8,150,0.051
May,2020,Atlanta,GA,9,158,0.054
Jun,2020,Atlanta,GA,13,204,0.060
Jul,2020,Atlanta,GA,21,269,0.072
Aug,2020,Atlanta,GA,17,255,0.063
Sep,2020,Atlanta,GA,13,271,0.046
Oct,2020,Atlanta,GA,15,371,0.039
Nov,2020,Atlanta,GA,13,354,0.035
Dec,2020,Atlanta,GA,22,359,0.058
Jan,2021,Atlanta,GA,24,359,0.063
Feb,2021,Atlanta,GA,13,262,0.047
Mar,2021,Atlanta,GA,20,198,0.092
Apr,2021,Atlanta,GA,13,202,0.060
May,2021,Atlanta,GA,14,256,0.052
Jun,2021,Atlanta,GA,11,202,0.052
Jul,2021,Atlanta,GA,15,244,0.058
Aug,2021,Atlanta,GA,17,233,0.068
Sep,2021,Atlanta,GA,13,257,0.048
Oct,2021,Atlanta,GA,12,228,0.050
Nov,2021,Atlanta,GA,10,235,0.041
Dec,2021,Atlanta,GA,19,219,0.080
Jan,2022,Atlanta,GA,24,239,0.091
Feb,2022,Atlanta,GA,14,204,0.064
Mar,2022,Atlanta,GA,11,210,0.050
Apr,2022,Atlanta,GA,10,192,0.050
May,2022,Atlanta,GA,10,210,0.045
Jun,2022,Atlanta,GA,37,265,0.123
Jul,2022,Atlanta,GA,58,272,0.176
Aug,2022,Atlanta,GA,46,211,0.179
Sep,2022,Atlanta,GA,46,202,0.185
Oct,2022,Atlanta,GA,106,201,0.345
Nov,2022,Atlanta,GA,108,269,0.286
Dec,2022,Atlanta,GA,116,251,0.316
Jan,2019,Baltimore,MD,44,481,0.084
Feb,2019,Baltimore,MD,35,366,0.087
Mar,2019,Baltimore,MD,49,399,0.109
Apr,2019,Baltimore,MD,27,421,0.060
May,2019,Baltimore,MD,34,444,0.071
Jun,2019,Baltimore,MD,30,477,0.059
Jul,2019,Baltimore,MD,48,566,0.078
Aug,2019,Baltimore,MD,33,506,0.061
Sep,2019,Baltimore,MD,37,458,0.075
Oct,2019,Baltimore,MD,34,474,0.067
Nov,2019,Baltimore,MD,31,429,0.067
Dec,2019,Baltimore,MD,35,494,0.066
Jan,2020,Baltimore,MD,38,440,0.079
Feb,2020,Baltimore,MD,30,366,0.076
Mar,2020,Baltimore,MD,28,359,0.072
Apr,2020,Baltimore,MD,28,322,0.080
May,2020,Baltimore,MD,21,332,0.059
Jun,2020,Baltimore,MD,21,361,0.055
Jul,2020,Baltimore,MD,28,381,0.068
Aug,2020,Baltimore,MD,31,410,0.070
Sep,2020,Baltimore,MD,41,393,0.094
Oct,2020,Baltimore,MD,33,375,0.081
Nov,2020,Baltimore,MD,33,399,0.076
Dec,2020,Baltimore,MD,24,355,0.063
Jan,2021,Baltimore,MD,34,348,0.089
Feb,2021,Baltimore,MD,25,316,0.073
Mar,2021,Baltimore,MD,27,347,0.072
Apr,2021,Baltimore,MD,27,322,0.077
May,2021,Baltimore,MD,43,421,0.093
Jun,2021,Baltimore,MD,33,420,0.073
Jul,2021,Baltimore,MD,19,400,0.045
Aug,2021,Baltimore,MD,28,418,0.063
Sep,2021,Baltimore,MD,45,445,0.092
Oct,2021,Baltimore,MD,34,375,0.083
Nov,2021,Baltimore,MD,32,431,0.069
Dec,2021,Baltimore,MD,44,414,0.096
Jan,2022,Baltimore,MD,47,460,0.093
Feb,2022,Baltimore,MD,33,348,0.087
Mar,2022,Baltimore,MD,34,357,0.087
Apr,2022,Baltimore,MD,31,373,0.077
May,2022,Baltimore,MD,31,359,0.079
Jun,2022,Baltimore,MD,45,418,0.097
Jul,2022,Baltimore,MD,69,441,0.135
Aug,2022,Baltimore,MD,91,370,0.197
Sep,2022,Baltimore,MD,75,420,0.152
Oct,2022,Baltimore,MD,112,438,0.204
Nov,2022,Baltimore,MD,108,393,0.216
Dec,2022,Baltimore,MD,131,401,0.246
Jan,2020,Buffalo,NY,8,131,0.058
Feb,2020,Buffalo,NY,9,92,0.089
Mar,2020,Buffalo,NY,4,82,0.047
Apr,2020,Buffalo,NY,4,69,0.055
May,2020,Buffalo,NY,5,90,0.053
Jun,2020,Buffalo,NY,15,110,0.120
Jul,2020,Buffalo,NY,12,149,0.075
Aug,2020,Buffalo,NY,14,141,0.090
Sep,2020,Buffalo,NY,8,141,0.054
Oct,2020,Buffalo,NY,10,202,0.047
Nov,2020,Buffalo,NY,14,167,0.077
Dec,2020,Buffalo,NY,13,162,0.074
Jan,2021,Buffalo,NY,24,205,0.105
Feb,2021,Buffalo,NY,20,193,0.094
Mar,2021,Buffalo,NY,19,163,0.104
Apr,2021,Buffalo,NY,14,167,0.077
May,2021,Buffalo,NY,16,110,0.127
Jun,2021,Buffalo,NY,9,106,0.078
Jul,2021,Buffalo,NY,14,125,0.101
Aug,2021,Buffalo,NY,8,115,0.065
Sep,2021,Buffalo,NY,7,85,0.076
Oct,2021,Buffalo,NY,6,116,0.049
Nov,2021,Buffalo,NY,8,123,0.061
Dec,2021,Buffalo,NY,6,116,0.049
Jan,2022,Buffalo,NY,8,137,0.055
Feb,2022,Buffalo,NY,8,93,0.079
Mar,2022,Buffalo,NY,14,106,0.117
Apr,2022,Buffalo,NY,5,103,0.046
May,2022,Buffalo,NY,10,115,0.080
Jun,2022,Buffalo,NY,12,128,0.086
Jul,2022,Buffalo,NY,19,135,0.123
Aug,2022,Buffalo,NY,53,120,0.306
Sep,2022,Buffalo,NY,49,120,0.290
Oct,2022,Buffalo,NY,85,84,0.503
Nov,2022,Buffalo,NY,54,89,0.378
Dec,2022,Buffalo,NY,144,91,0.613
Jan,2019,Chicago,IL,52,586,0.082
Feb,2019,Chicago,IL,43,552,0.072
Mar,2019,Chicago,IL,44,602,0.068
Apr,2019,Chicago,IL,57,614,0.085
May,2019,Chicago,IL,47,646,0.068
Jun,2019,Chicago,IL,45,676,0.062
Jul,2019,Chicago,IL,63,725,0.080
Aug,2019,Chicago,IL,55,696,0.073
Sep,2019,Chicago,IL,37,582,0.060
Oct,2019,Chicago,IL,39,631,0.058
Nov,2019,Chicago,IL,41,592,0.065
Dec,2019,Chicago,IL,53,662,0.074
Jan,2020,Chicago,IL,41,579,0.066
Feb,2020,Chicago,IL,43,556,0.072
Mar,2020,Chicago,IL,37,543,0.064
Apr,2020,Chicago,IL,46,569,0.075
May,2020,Chicago,IL,62,751,0.076
Jun,2020,Chicago,IL,58,654,0.081
Jul,2020,Chicago,IL,66,785,0.078
Aug,2020,Chicago,IL,70,860,0.075
Sep,2020,Chicago,IL,45,814,0.052
Oct,2020,Chicago,IL,52,875,0.056
Nov,2020,Chicago,IL,60,817,0.068
Dec,2020,Chicago,IL,71,818,0.080
Jan,2021,Chicago,IL,64,725,0.081
Feb,2021,Chicago,IL,48,573,0.077
Mar,2021,Chicago,IL,62,706,0.081
Apr,2021,Chicago,IL,49,578,0.078
May,2021,Chicago,IL,39,606,0.060
Jun,2021,Chicago,IL,54,727,0.069
Jul,2021,Chicago,IL,57,767,0.069
Aug,2021,Chicago,IL,62,832,0.069
Sep,2021,Chicago,IL,79,915,0.079
Oct,2021,Chicago,IL,81,1058,0.071
Nov,2021,Chicago,IL,73,983,0.069
Dec,2021,Chicago,IL,82,1005,0.075
Jan,2022,Chicago,IL,106,992,0.097
Feb,2022,Chicago,IL,77,867,0.082
Mar,2022,Chicago,IL,80,972,0.076
Apr,2022,Chicago,IL,88,901,0.089
May,2022,Chicago,IL,62,954,0.061
Jun,2022,Chicago,IL,138,972,0.124
Jul,2022,Chicago,IL,476,1190,0.286
Aug,2022,Chicago,IL,706,1214,0.368
Sep,2022,Chicago,IL,912,1152,0.442
Oct,2022,Chicago,IL,1483,1092,0.576
Nov,2022,Chicago,IL,1453,941,0.607
Dec,2022,Chicago,IL,1220,1016,0.546
Jan,2020,Cleveland,OH,35,251,0.122
Feb,2020,Cleveland,OH,12,222,0.051
Mar,2020,Cleveland,OH,14,203,0.065
Apr,2020,Cleveland,OH,21,191,0.099
May,2020,Cleveland,OH,20,242,0.076
Jun,2020,Cleveland,OH,22,255,0.079
Jul,2020,Cleveland,OH,20,271,0.069
Aug,2020,Cleveland,OH,29,278,0.094
Sep,2020,Cleveland,OH,28,272,0.093
Oct,2020,Cleveland,OH,27,270,0.091
Nov,2020,Cleveland,OH,18,242,0.069
Dec,2020,Cleveland,OH,18,254,0.066
Jan,2021,Cleveland,OH,30,306,0.089
Feb,2021,Cleveland,OH,23,241,0.087
Mar,2021,Cleveland,OH,25,235,0.096
Apr,2021,Cleveland,OH,16,219,0.068
May,2021,Cleveland,OH,28,287,0.089
Jun,2021,Cleveland,OH,25,275,0.083
Jul,2021,Cleveland,OH,39,316,0.110
Aug,2021,Cleveland,OH,27,286,0.086
Sep,2021,Cleveland,OH,22,302,0.068
Oct,2021,Cleveland,OH,20,279,0.067
Nov,2021,Cleveland,OH,23,267,0.079
Dec,2021,Cleveland,OH,29,253,0.103
Jan,2022,Cleveland,OH,49,293,0.143
Feb,2022,Cleveland,OH,26,243,0.097
Mar,2022,Cleveland,OH,31,280,0.100
Apr,2022,Cleveland,OH,17,217,0.073
May,2022,Cleveland,OH,29,228,0.113
Jun,2022,Cleveland,OH,28,229,0.109
Jul,2022,Cleveland,OH,124,211,0.370
Aug,2022,Cleveland,OH,105,216,0.327
Sep,2022,Cleveland,OH,204,202,0.502
Oct,2022,Cleveland,OH,299,248,0.547
Nov,2022,Cleveland,OH,403,214,0.653
Dec,2022,Cleveland,OH,465,237,0.662
Jan,2019,Dayton,OH,2,75,0.026
Feb,2019,Dayton,OH,4,60,0.063
Mar,2019,Dayton,OH,6,49,0.109
Apr,2019,Dayton,OH,3,56,0.051
May,2019,Dayton,OH,4,63,0.060
Jun,2019,Dayton,OH,2,71,0.027
Jul,2019,Dayton,OH,4,84,0.045
Aug,2019,Dayton,OH,3,82,0.035
Sep,2019,Dayton,OH,2,63,0.031
Oct,2019,Dayton,OH,3,52,0.055
Nov,2019,Dayton,OH,6,55,0.098
Dec,2019,Dayton,OH,2,55,0.035
Jan,2020,Dayton,OH,5,65,0.071
Feb,2020,Dayton,OH,5,64,0.072
Mar,2020,Dayton,OH,6,77,0.072
Apr,2020,Dayton,OH,6,65,0.085
May,2020,Dayton,OH,4,68,0.056
Jun,2020,Dayton,OH,3,67,0.043
Jul,2020,Dayton,OH,4,56,0.067
